state,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2
Alabama,0.040999999999999995,0.040666666666666663,0.03966666666666667,0.03866666666666667,0.03833333333333333,0.03933333333333333,0.041,0.043000000000000003,0.047,0.05333333333333333,0.06166666666666667,0.07333333333333333,0.08833333333333335,0.099,0.10600000000000001,0.11,0.11,0.103,0.10066666666666667,0.10133333333333333,0.1,0.09833333333333334,0.09566666666666666,0.08933333333333333,0.08433333333333334,0.08366666666666667,0.08066666666666666,0.07766666666666666,0.07566666666666666,0.07333333333333333,0.07200000000000001,0.07200000000000001,0.07133333333333333,0.069,0.066,0.063,0.061,0.06133333333333333,0.06166666666666667,0.061,0.06033333333333333,0.059000000000000004,0.059000000000000004,0.058,0.053,0.047,0.043000000000000003,0.04033333333333333,0.04,0.04,0.03933333333333333,0.03766666666666667,0.03466666666666667,0.030666666666666665,0.028333333333333332,0.027333333333333334,0.026333333333333337,0.096,0.07066666666666667,0.047,0.04033333333333333,NA
Alaska,0.06866666666666667,0.067,0.06566666666666666,0.064,0.06233333333333333,0.06233333333333333,0.063,0.06266666666666666,0.06233333333333333,0.064,0.06533333333333334,0.06733333333333334,0.07433333333333333,0.08,0.08166666666666667,0.08333333333333334,0.084,0.08166666666666667,0.07933333333333334,0.08033333333333334,0.079,0.07733333333333334,0.077,0.076,0.07433333333333333,0.073,0.07166666666666667,0.071,0.07033333333333333,0.07,0.07,0.06933333333333334,0.069,0.069,0.06766666666666667,0.064,0.06266666666666666,0.063,0.062,0.06333333333333334,0.06466666666666666,0.06566666666666666,0.06666666666666667,0.067,0.06566666666666666,0.065,0.065,0.06433333333333334,0.062,0.059333333333333335,0.057999999999999996,0.057999999999999996,0.056999999999999995,0.05433333333333334,0.05366666666666667,0.05066666666666667,0.050666666666666665,0.11566666666666667,0.084,0.065,0.066,NA
Arizona,0.044333333333333336,0.044000000000000004,0.043000000000000003,0.041,0.03866666666666667,0.036000000000000004,0.03566666666666667,0.03966666666666666,0.044333333333333336,0.052000000000000005,0.06233333333333334,0.073,0.08566666666666667,0.09466666666666666,0.10133333333333333,0.105,0.106,0.10400000000000001,0.10166666666666666,0.10033333333333333,0.09766666666666667,0.096,0.094,0.08966666666666667,0.08633333333333333,0.08466666666666667,0.082,0.081,0.08066666666666666,0.07933333333333334,0.07766666666666666,0.075,0.07100000000000001,0.06866666666666667,0.067,0.065,0.063,0.06133333333333333,0.06033333333333333,0.058333333333333334,0.05633333333333333,0.05533333333333333,0.05433333333333334,0.05333333333333334,0.051666666666666666,0.04966666666666667,0.04833333333333333,0.04866666666666667,0.04833333333333333,0.047,0.04766666666666667,0.04966666666666667,0.05,0.049,0.04833333333333333,0.047,0.049,0.11833333333333333,0.081,0.068,0.06766666666666667,NA
Arkansas,0.051333333333333335,0.05266666666666667,0.053,0.053,0.053,0.054,0.055,0.05366666666666667,0.05,0.050333333333333334,0.05433333333333333,0.063,0.07333333333333333,0.07866666666666666,0.07833333333333334,0.07866666666666666,0.079,0.07766666666666666,0.078,0.07966666666666666,0.08,0.08,0.07966666666666666,0.07666666666666666,0.07333333333333333,0.073,0.07233333333333333,0.07200000000000001,0.07200000000000001,0.07166666666666667,0.07066666666666667,0.06733333333333334,0.06333333333333334,0.059666666666666666,0.05733333333333333,0.05566666666666666,0.05433333333333334,0.052,0.04766666666666667,0.044,0.041,0.04,0.03966666666666667,0.03866666666666667,0.037333333333333336,0.037000000000000005,0.037333333333333336,0.038,0.03766666666666667,0.036333333333333336,0.036000000000000004,0.036666666666666674,0.03566666666666667,0.034333333333333334,0.035,0.035333333333333335,0.038,0.08766666666666667,0.065,0.05266666666666667,0.045,NA
California,0.04966666666666667,0.049,0.049,0.049,0.04966666666666667,0.051333333333333335,0.054,0.05733333333333333,0.060333333333333336,0.067,0.07633333333333334,0.08833333333333335,0.10366666666666667,0.11433333333333333,0.11966666666666667,0.124,0.126,0.12466666666666666,0.12366666666666667,0.124,0.122,0.12,0.11900000000000001,0.11466666666666667,0.11066666666666666,0.108,0.10333333333333333,0.099,0.09533333333333333,0.092,0.08900000000000001,0.085,0.081,0.077,0.074,0.07066666666666667,0.067,0.064,0.060333333333333336,0.057666666666666665,0.05633333333333333,0.055,0.055,0.05433333333333334,0.052,0.049,0.04733333333333333,0.04533333333333333,0.043666666666666666,0.042333333333333334,0.042,0.043,0.042666666666666665,0.040999999999999995,0.040999999999999995,0.04133333333333333,0.043333333333333335,0.15233333333333332,0.12033333333333333,0.09266666666666667,0.08600000000000001,NA
Colorado,0.045,0.044000000000000004,0.042666666666666665,0.03933333333333333,0.03566666666666667,0.034333333333333334,0.037333333333333336,0.040666666666666663,0.042333333333333334,0.04533333333333334,0.05,0.05733333333333333,0.07,0.07933333333333334,0.08133333333333333,0.08433333333333333,0.08966666666666667,0.09033333333333333,0.092,0.09366666666666668,0.08933333333333333,0.087,0.08633333333333333,0.085,0.08333333333333334,0.08233333333333333,0.07933333333333334,0.075,0.072,0.069,0.06666666666666667,0.06233333333333333,0.057999999999999996,0.052000000000000005,0.04633333333333333,0.043000000000000003,0.040999999999999995,0.039,0.036000000000000004,0.03366666666666667,0.033,0.03266666666666667,0.031,0.028666666666666667,0.025,0.024333333333333335,0.027,0.028333333333333332,0.028999999999999998,0.030333333333333334,0.031,0.031,0.028999999999999998,0.026333333333333337,0.025666666666666667,0.025333333333333336,0.034,0.11666666666666667,0.07166666666666667,0.069,0.06466666666666666,NA
Connecticut,0.04533333333333333,0.044000000000000004,0.044000000000000004,0.043666666666666666,0.043,0.043333333333333335,0.045,0.04666666666666667,0.049,0.053,0.058666666666666666,0.06533333333333334,0.074,0.081,0.08600000000000001,0.092,0.096,0.09566666666666666,0.095,0.09566666666666666,0.09366666666666668,0.09166666666666666,0.08933333333333333,0.086,0.08333333333333334,0.084,0.084,0.083,0.08266666666666667,0.08133333333333333,0.079,0.075,0.07066666666666667,0.067,0.065,0.062,0.059,0.056999999999999995,0.055,0.05366666666666667,0.051666666666666666,0.04933333333333333,0.04733333333333333,0.04633333333333333,0.04533333333333333,0.044333333333333336,0.043666666666666666,0.043,0.041666666666666664,0.03966666666666667,0.038,0.037333333333333336,0.036666666666666674,0.035333333333333335,0.03566666666666667,0.036000000000000004,0.037333333333333336,0.10466666666666667,0.09333333333333334,0.08199999999999999,0.083,NA
Delaware,0.04133333333333333,0.04,0.03866666666666667,0.036333333333333336,0.036000000000000004,0.03566666666666667,0.035333333333333335,0.037333333333333336,0.04,0.04466666666666667,0.053,0.06366666666666666,0.07566666666666667,0.083,0.086,0.08900000000000001,0.09033333333333333,0.087,0.08533333333333333,0.08366666666666667,0.07933333333333334,0.077,0.07566666666666666,0.07233333333333333,0.07,0.07066666666666667,0.071,0.071,0.07033333333333333,0.068,0.06466666666666666,0.06133333333333333,0.059666666666666666,0.057666666666666665,0.055,0.052,0.04933333333333333,0.04866666666666667,0.04733333333333333,0.04633333333333333,0.04466666666666667,0.044333333333333336,0.04533333333333333,0.04666666666666667,0.04633333333333333,0.04466666666666667,0.044000000000000004,0.043000000000000003,0.04,0.037000000000000005,0.036000000000000004,0.035,0.03466666666666667,0.034333333333333334,0.037000000000000005,0.04,0.04533333333333333,0.132,0.07933333333333334,0.058,0.063,NA
District of Columbia,0.06233333333333333,0.06366666666666666,0.064,0.063,0.06066666666666667,0.059000000000000004,0.059000000000000004,0.059333333333333335,0.061,0.06433333333333334,0.07,0.07866666666666666,0.09033333333333333,0.09899999999999999,0.10466666666666667,0.106,0.10333333333333333,0.09833333333333333,0.09733333333333333,0.099,0.10033333333333333,0.10400000000000001,0.10400000000000001,0.09933333333333333,0.09466666666666668,0.091,0.087,0.08633333333333333,0.087,0.08533333333333333,0.084,0.081,0.07866666666666666,0.078,0.07666666666666666,0.075,0.07300000000000001,0.07033333333333334,0.06766666666666667,0.06566666666666666,0.063,0.061,0.06233333333333333,0.063,0.06233333333333333,0.062,0.06133333333333333,0.059666666666666666,0.058333333333333334,0.056999999999999995,0.05566666666666666,0.056999999999999995,0.057666666666666665,0.05433333333333333,0.051666666666666666,0.04933333333333333,0.050333333333333334,0.09633333333333334,0.08800000000000001,0.08800000000000001,0.081,NA
Florida,0.024,0.024,0.025,0.025666666666666667,0.028,0.031,0.034333333333333334,0.03866666666666667,0.044000000000000004,0.052000000000000005,0.061,0.07066666666666667,0.08166666666666667,0.093,0.101,0.10666666666666667,0.109,0.10833333333333334,0.10800000000000001,0.10766666666666667,0.105,0.102,0.09866666666666667,0.09433333333333334,0.091,0.08866666666666667,0.085,0.082,0.07966666666666666,0.07666666666666666,0.074,0.07100000000000001,0.068,0.066,0.063,0.06033333333333333,0.058333333333333334,0.056666666666666664,0.054,0.052,0.050333333333333334,0.049,0.049,0.04833333333333333,0.04533333333333334,0.042666666666666665,0.041666666666666664,0.04033333333333333,0.03866666666666667,0.036333333333333336,0.035,0.035,0.034333333333333334,0.03266666666666667,0.03266666666666667,0.032,0.03833333333333334,0.13266666666666665,0.08866666666666667,0.05433333333333333,0.04733333333333333,NA
