div_label,state,wbhao,natl_weight,st_weight
East South Central,Alabama,Asian,1,0
Pacific,Alaska,Asian,0.6,0.4
Mountain,Arizona,Asian,0.8,0.2
West South Central,Arkansas,Asian,1,0
Pacific,California,Asian,0,1
Mountain,Colorado,Asian,1,0
New England,Connecticut,Asian,1,0
South Atlantic,Delaware,Asian,1,0
South Atlantic,District of Columbia,Asian,1,0
South Atlantic,Florida,Asian,0.7,0.3
South Atlantic,Georgia,Asian,1,0
Pacific,Hawaii,Asian,0,1
Mountain,Idaho,Asian,1,0
East North Central,Illinois,Asian,0.6,0.4
East North Central,Indiana,Asian,1,0
West North Central,Iowa,Asian,1,0
West North Central,Kansas,Asian,1,0
East South Central,Kentucky,Asian,1,0
West South Central,Louisiana,Asian,1,0
New England,Maine,Asian,1,0
South Atlantic,Maryland,Asian,0.8,0.2
New England,Massachusetts,Asian,0.2,0.8
East North Central,Michigan,Asian,1,0
West North Central,Minnesota,Asian,1,0
East South Central,Mississippi,Asian,1,0
West North Central,Missouri,Asian,1,0
Mountain,Montana,Asian,1,0
West North Central,Nebraska,Asian,1,0
Mountain,Nevada,Asian,0.4,0.6
New England,New Hampshire,Asian,1,0
Middle Atlantic,New Jersey,Asian,0.2,0.8
Mountain,New Mexico,Asian,1,0
Middle Atlantic,New York,Asian,0,1
South Atlantic,North Carolina,Asian,1,0
West North Central,North Dakota,Asian,1,0
East North Central,Ohio,Asian,1,0
West South Central,Oklahoma,Asian,1,0
Pacific,Oregon,Asian,0.8,0.2
Middle Atlantic,Pennsylvania,Asian,1,0
New England,Rhode Island,Asian,1,0
South Atlantic,South Carolina,Asian,1,0
West North Central,South Dakota,Asian,1,0
East South Central,Tennessee,Asian,1,0
West South Central,Texas,Asian,0.2,0.8
Mountain,Utah,Asian,1,0
New England,Vermont,Asian,1,0
South Atlantic,Virginia,Asian,0.8,0.2
Pacific,Washington,Asian,0.4,0.6
South Atlantic,West Virginia,Asian,1,0
East North Central,Wisconsin,Asian,1,0
Mountain,Wyoming,Asian,1,0
East South Central,Alabama,Black,0,1
Pacific,Alaska,Black,1,0
Mountain,Arizona,Black,0.7,0.3
West South Central,Arkansas,Black,0.2,0.8
Pacific,California,Black,0,1
Mountain,Colorado,Black,0.8,0.2
New England,Connecticut,Black,0.7,0.3
